dataset,mode,cycle,decoder,decoded_message,expected_message,payload_bit_accuracy,char_accuracy,bits_received,hamming_corrected_count,status
NULO,RAW,0,hard_vector,AYGPV,JANUS,0.4666666666666667,0.0,010100101101011000000110000101001001010011110,4.0,ok
NULO,RAW,0,soft_vector_codebook,APGPD,JANUS,0.4,0.0,110100101101010000010000000101001001010010100,,ok
NULO,RAW,1,hard_vector,Z??V?,JANUS,0.5111111111111111,0.0,110011101111111000011110101111110110100000100,2.0,ok
NULO,RAW,1,soft_vector_codebook,ZZZVL,JANUS,0.4444444444444444,0.0,111010001111110000001110100011111100000000000,,ok
NULO,RAW,2,hard_vector,NHDZ ,JANUS,0.4666666666666667,0.0,001110010000010111000101010100100000000000000,5.0,ok
NULO,RAW,2,soft_vector_codebook,RNDH ,JANUS,0.4222222222222222,0.0,000100010010000111100101001100110000000000000,,ok
NULO,POST_Q1_1,0,hard_vector,QPKY?,JANUS,0.4444444444444444,0.0,011111111100011000000011100001001001010110110,2.0,ok
NULO,POST_Q1_1,0,soft_vector_codebook,M KPL,JANUS,0.4,0.0,001111011100010000001010110001001001010010100,,ok
NULO,POST_Q1_1,1,hard_vector,JDAXG,JANUS,0.5111111111111111,0.2,001100101000011010001001001101100010011100101,3.0,ok
NULO,POST_Q1_1,1,soft_vector_codebook,JDALW,JANUS,0.4888888888888889,0.2,001111101100001010001001001011100010010100101,,ok
NULO,POST_Q1_1,2,hard_vector,DHE?U,JANUS,0.5111111111111111,0.0,011100010000011111100101010111000100001001101,3.0,ok
NULO,POST_Q1_1,2,soft_vector_codebook,DHDOU,JANUS,0.6,0.0,010101010000001111110101010111000100001100011,,ok
PHAN_STRICT_POSTHOC,RAW,0,hard_vector, ?CBS,JANUS,0.5333333333333333,0.2,000011110001001010000100000000011110111001101,3.0,ok
PHAN_STRICT_POSTHOC,RAW,0,soft_vector_codebook, XQ Z,JANUS,0.4,0.0,000010110001101010000100100000000010010000100,,ok
PHAN_STRICT_POSTHOC,RAW,1,hard_vector,RMQMP,JANUS,0.4222222222222222,0.0,000000111110001100000100001010010000111001110,5.0,ok
PHAN_STRICT_POSTHOC,RAW,1,soft_vector_codebook,RJAM ,JANUS,0.4,0.0,001000101010000100000101000010110000011000110,,ok
PHAN_STRICT_POSTHOC,RAW,2,hard_vector,MSX?D,JANUS,0.37777777777777777,0.0,110101011101110011011111110001010101100011010,3.0,ok
PHAN_STRICT_POSTHOC,RAW,2,soft_vector_codebook,MSXKD,JANUS,0.4444444444444444,0.0,010101011101100011011011010001010101101011010,,ok
PHAN_STRICT_POSTHOC,POST_Q1_1,0,hard_vector, P YD,JANUS,0.4666666666666667,0.0,000101011001000111100001000001000001111100010,1.0,ok
PHAN_STRICT_POSTHOC,POST_Q1_1,0,soft_vector_codebook,QRCC ,JANUS,0.4222222222222222,0.0,000001011011000011100000000000011101011010110,,ok
PHAN_STRICT_POSTHOC,POST_Q1_1,1,hard_vector,RJQEV,JANUS,0.4222222222222222,0.0,000100110111001100100100000010010010011000110,5.0,ok
PHAN_STRICT_POSTHOC,POST_Q1_1,1,soft_vector_codebook,RZAEV,JANUS,0.4444444444444444,0.0,011100001111001100100100000011110010011000110,,ok
PHAN_STRICT_POSTHOC,POST_Q1_1,2,hard_vector,OSQND,JANUS,0.26666666666666666,0.0,110100011101100111011101110011010101111011100,4.0,ok
PHAN_STRICT_POSTHOC,POST_Q1_1,2,soft_vector_codebook,ESYOX,JANUS,0.4,0.0,111101010101101111110011110010010101111011110,,ok
REAL,RAW,0,hard_vector,TKVRE,JANUS,0.5555555555555556,0.0,000001110010110001110100010101011001100001001,3.0,ok
REAL,RAW,0,soft_vector_codebook,VKVTN,JANUS,0.5777777777777777,0.0,010101110010110000110100110111111010100001000,,ok
REAL,RAW,1,hard_vector,VLH?B,JANUS,0.5333333333333333,0.0,000010101110010001110111011001100110001000010,5.0,ok
REAL,RAW,1,soft_vector_codebook,VLHYB,JANUS,0.5777777777777777,0.0,011111101110010001110111011000100010001000010,,ok
REAL,RAW,2,hard_vector,ZTL A,JANUS,0.6222222222222222,0.0,011011100011000010001010001100100011001100001,4.0,ok
REAL,RAW,2,soft_vector_codebook,XT  S,JANUS,0.6222222222222222,0.2,010011000011001110011000001000000010000100001,,ok
REAL,POST_Q1_1,0,hard_vector,RANUG,JANUS,0.8222222222222222,0.6,010011010010010001100010000111111011101101011,3.0,ok
REAL,POST_Q1_1,0,soft_vector_codebook,JANUS,JANUS,1.0,1.0,010011000000011001111010000110101010101101011,,ok
REAL,POST_Q1_1,1,hard_vector,JANVG,JANUS,0.8222222222222222,0.6,010011100000010001111010000111100110001001001,1.0,ok
REAL,POST_Q1_1,1,soft_vector_codebook,JANUS,JANUS,1.0,1.0,010011000000011001111010000110101010101101011,,ok
REAL,POST_Q1_1,2,hard_vector,YANRS,JANUS,0.8444444444444444,0.6,010011000010011001111010000100000110101111001,2.0,ok
REAL,POST_Q1_1,2,soft_vector_codebook,QANRS,JANUS,0.8,0.6,010011000010011001110010000100001111100111001,,ok
