dataset,mode,bit_sent,n,consenso_mean,espiao_1_mean,espiao_2_mean,espiao_3_mean,e1_minus_e2,e2_minus_e3,q1_rate,q0_rate
NULO,RAW,0,49152,0.09637451171875,0.034912109375,0.0360107421875,0.02545166015625,-0.0010986328125,0.01055908203125,0.4661051432291667,0.4566446940104167
NULO,RAW,1,44544,0.09538882902298851,0.035088900862068964,0.03504400143678161,0.02525592672413793,4.4899425287354966e-05,0.009788074712643677,0.5949622844827587,0.4548536278735632
NULO,POST_Q1_1,0,22910,0.09524225229157574,0.03566128328240943,0.033435181143605414,0.02614578786556089,0.0022261021388040175,0.007289393278044523,1.0,0.45115670013094716
NULO,POST_Q1_1,1,26502,0.09595502226247075,0.03535582220209795,0.035318089200815035,0.025281110859557768,3.7733001282916345e-05,0.010036978341257267,1.0,0.4546071994566448
PHAN_STRICT_POSTHOC,RAW,0,49152,0.10799153645833333,0.036946614583333336,0.037699381510416664,0.033345540364583336,-0.0007527669270833287,0.004353841145833329,0.4884847005208333,0.4842122395833333
PHAN_STRICT_POSTHOC,RAW,1,44544,0.109375,0.03820941091954023,0.037064475574712645,0.03410111350574713,0.0011449353448275829,0.002963362068965518,0.48828125,0.48399335488505746
PHAN_STRICT_POSTHOC,POST_Q1_1,0,24010,0.16109954185755934,0.05764264889629321,0.05401915868388171,0.049437734277384425,0.003623490212411498,0.004581424406497288,1.0,0.9089129529362765
PHAN_STRICT_POSTHOC,POST_Q1_1,1,21750,0.1628505747126437,0.059034482758620686,0.05227586206896552,0.05154022988505747,0.006758620689655166,0.0007356321839080485,1.0,0.9082298850574713
REAL,RAW,0,49152,0.11008707682291667,0.03692626953125,0.0384521484375,0.034708658854166664,-0.00152587890625,0.0037434895833333356,0.4881591796875,0.4837849934895833
REAL,RAW,1,44544,0.10360542385057471,0.031811242816091954,0.037154274425287355,0.0346399066091954,-0.0053430316091954005,0.0025143678160919544,0.5013918821839081,0.4907507183908046
REAL,POST_Q1_1,0,23994,0.16241560390097523,0.05618071184462782,0.05568058681337001,0.05055430524297741,0.0005001250312578129,0.005126281570392598,1.0,0.9033925147953655
REAL,POST_Q1_1,1,22334,0.10683263186173547,0.03384973582878123,0.037789916718903915,0.03519297931405033,-0.003940180890122685,0.0025969374048535887,1.0,0.4900599982090087
