dataset,mode,cycle,decoded_message,payload_bit_accuracy,char_accuracy,hamming_corrected_count,status
NULO,RAW,0,BIERA,0.5333333333333333,0.0,4,ok
NULO,RAW,1,HBBP ,0.4666666666666667,0.0,2,ok
NULO,POST_Q1_1,0,FAFB?,0.4888888888888889,0.2,2,ok
NULO,POST_Q1_1,1, B   ,0.5111111111111111,0.0,3,ok
PHAN_STRICT_POSTHOC,RAW,0,?Y?U?,0.5555555555555556,0.2,5,ok
PHAN_STRICT_POSTHOC,RAW,1,UMMEH,0.4888888888888889,0.0,3,ok
PHAN_STRICT_POSTHOC,POST_Q1_1,0,V??X?,0.4222222222222222,0.0,3,ok
PHAN_STRICT_POSTHOC,POST_Q1_1,1,DL?GH,0.5111111111111111,0.0,3,ok
REAL,RAW,0,BGNEF,0.7333333333333333,0.2,2,ok
REAL,RAW,1,JANUA,0.9333333333333333,0.8,2,ok
REAL,POST_Q1_1,0,JANUS,0.9555555555555556,1.0,2,ok
REAL,POST_Q1_1,1,JANUS,0.9555555555555556,1.0,2,ok
